Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
E2F4	0	0	100	-100	T
TFDP1	0	0	100	-100	T
MYC	0	0	100	-100	T
E2F2	0	0	100	-100	T
BHLHE40	0	0	100	-100	T
FOS	0	100	0	100	T
MEF2A	0	100	0	100	T
NCOA3	0	100	0	100	T
MAFB	0	100	0	100	T
POU2F1	0	100	0	100	T
BACH2	0	100	0	100	T
NCOA2	0	100	0	100	T
CEBPG	0	100	0	100	T
CEBPB	0	100	0	100	T
KMT2A	0	100	0	100	T
ARID3A	0	100	0	100	T
SREBF2	0	100	0	100	T
STAT1	0	100	0	100	T
SOX2	0	100	0	100	T
FOXO3	0	100	0	100	T
NFKB1	0	100	0	100	T
RELA	0	100	0	100	T
FOXL2	0	100	0	100	T
SREBF1	0	100	0	100	T
ATF4	0	100	0	100	T
SRC	0	100	0	100	I
PRKACA	0	100	0	100	I
ATR	0	100	0	100	I
CDK2	50	0	50	-50	I
SMAD4	50	0	50	-50	I
GSK3B	0	100	0	100	I
EP300	50	50	0	50	I
SIRT1	0	0	100	-100	I
ESR1	50	50	0	50	I
HIF1AN	0	100	0	100	I
FBXW11	50	0	50	-50	I
PTK2B	0	100	0	100	I
PRKAA1	50	0	50	-50	I
RPS6KA2	0	100	0	100	I
TESK2	0	100	0	100	I
POU2AF1	50	50	0	50	I
CEBPE	0	100	0	100	I
MBTPS2	0	100	0	100	I
EPAS1	0	0	100	-100	I
ETV3	50	0	50	-50	I
Perturbation	0	50	50	0	S
