Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
E2F4	0	0	100	-100	T
TFDP1	0	0	100	-100	T
E2F2	0	0	100	-100	T
MYC	0	0	100	-100	T
NR1H2	0	100	0	100	T
FOXK2	0	100	0	100	T
FOXO1	0	100	0	100	T
POU2F1	0	100	0	100	T
FOS	0	100	0	100	T
CEBPB	0	100	0	100	T
ELF1	0	100	0	100	T
SREBF1	0	100	0	100	T
FOXO3	0	100	0	100	T
MAFB	0	100	0	100	T
NFATC1	0	100	0	100	T
JUNB	0	100	0	100	T
ARID3A	0	100	0	100	T
TEAD1	0	100	0	100	T
MEF2A	0	100	0	100	T
NFKB1	0	100	0	100	T
RELA	0	100	0	100	T
FOXL2	0	100	0	100	T
ATF4	0	100	0	100	T
MAPK14	0	100	0	100	I
JAK2	0	0	100	-100	I
AKT1	0	100	0	100	I
CDK2	0	100	0	100	I
PRKCZ	0	100	0	100	I
SMAD4	0	0	100	-100	I
STAT3	0	0	100	-100	S
SIRT1	0	0	100	-100	I
SPI1	0	0	100	-100	I
SOCS1	0	0	100	-100	I
PPP2CA	0	0	100	-100	I
RXRB	0	100	0	100	I
PRKAA1	0	0	100	-100	I
CAMK2B	0	0	100	-100	I
CCM2	0	100	0	100	I
