,GSE147507.S5_A549_SARS.CoV.2,GSE147507.S7_Calu3_SARS.CoV.2,GSE148729_Calu3_SARS.CoV.2_24H
AHR,2.987485494627,5.37530298832357,2.80158860191316
AR,0.22418332400440197,1.5331827058049,-0.334599681653426
ARID1A,0.240261963474158,3.4578976077093704,1.86283417380083
ARID1B,2.00964316684659,2.9894583511226,1.114004365996
ARID2,3.67505554606406,4.30141142744982,1.5241866314955401
ARID3A,2.03425947358807,3.7542670978542,2.09828038642354
ARNT,3.7857749775112004,2.89377557789885,-1.38883396696383
ARNTL,1.69296015352451,3.5482110971149,2.96105619769616
ASCL1,-0.322097352011454,1.9496121315306598,0.8008628617625229
ATF1,1.53311065691378,0.356005922368447,-1.71349754401891
ATF2,2.2064228879840897,5.9638704902295006,4.86341930468676
ATF3,1.2732584855797602,-3.07529222763176,-4.1230095222396
ATF4,5.72092628511263,5.27089713795729,5.3072592135095
ATF6,2.8826093121361103,0.581310824002083,1.2326784886959299
ATF7,1.55674124677638,2.99055699700245,-0.0313835161191024
BACH1,2.09675870460728,1.62845468853342,1.0478811404216601
BACH2,1.1746931281417299,3.0253552485022004,2.1054175767088203
BATF,3.39883870249662,2.53612463254498,0.347792204998618
BCL11A,1.50497232525521,1.91825057170871,-0.9968019132767729
BCL3,-1.72865762992522,2.59747448117959,3.25661498287745
BCL6,-0.552323708359876,-4.81137078314275,-2.30172467067244
BHLHE22,-0.250411087480836,-1.10367957677027,0.726268834120097
BHLHE40,-0.9125050112943771,-4.9882342505974595,-4.00751704375078
CDX2,-0.0535995260442747,1.0024900280290698,0.103071299785925
CEBPA,-0.10355641058915302,0.989881698156427,1.02181208570553
CEBPB,3.93299820267472,5.803575462024651,4.1533605886977405
CEBPD,1.96953029368727,3.79840136945552,2.21319879848849
CEBPG,4.57135220323508,3.0715882169392996,-0.17688836290020604
CLOCK,0.962311030450364,3.6084703246486,2.4951409107191402
CREB1,0.7728940944041899,3.29964429753795,3.07727312096807
CREB3,-0.791484528960952,-0.490748849163841,0.29573436484036697
CREB3L1,-0.0630772107165992,1.48603891986896,1.4384349159335699
CREM,2.10743914600813,4.37012900648719,2.21452073482759
CTCF,-1.6196197280628002,0.11784315438972899,0.5248039665704489
CTCFL,-1.29147156585081,0.495504799030556,-0.9809174552306341
CUX1,0.961175882400412,1.2858222146216298,0.593338665214317
DNMT3B,-1.2251068648588799,-0.14344343640905,-0.30405051970827196
DUX4,2.75957272720011,2.84391452790034,1.0682177614764201
E2F1,-3.8794078927129303,-2.0671834223025902,-1.91408225938337
E2F2,-5.715447415652009,-4.99781525943838,-2.9362004429649504
E2F3,-4.22555513337244,-2.9798581680880396,-1.79064042341168
E2F4,-8.26524944676972,-7.48074642895645,-5.1234288085947695
