from to weight Sign alpha
APEX1 EPAS1 4 1 0.04223513603210449
ATR KMT2A 6 1 0.03125
CDK2 SMAD4 4 -1 0.04710525539093137
CDK2 ATR 6 1 0.009853576906926174
CDK2 CEBPB 5 1 0.021612328582845876
CDK2 MYC 4 1 0.04710525539093137
CSNK2A1 SSRP1 12 -1 0.002776133840111438
CSNK2A1 TP53 5 1 0.02183477412982174
MAPK1 SREBF1 7 1 0.03967928337324772
MAPK14 MAPK1 5 -1 0.029154724574618724
MAPK14 STAT1 5 1 0.03536888985764504
NR1H2 SREBF1 5 1 0.022983573700774442
SMAD4 MYC 10 1 0.009935934753450344
SMAD4 TFDP1 10 1 0.011296228037476866
STAT1 MYC 10 -1 0.009935934753450344
TFDP1 E2F1 5 1 0.046332288288879205
TFDP1 MYC 11 1 0.00608078698286239
