Node	AvgAct
AKT1	-14.285714285714286
APEX1	33.333333333333336
ATR	33.333333333333336
CDK2	0
CEBPB	5.357142857142857
CSNK2A1	42.857142857142854
E2F1	-42.857142857142854
E2F2	-42.857142857142854
E2F4	-50
EGF	100
EPAS1	33.333333333333336
FOS	75
KMT2A	50
MAPK1	76.13636363636364
MAPK14	1.25
MAPK3	75
MEF2C	50
MYC	-57.142857142857146
NR1H2	60
RB1	-100
SMAD4	-71.5909090909091
SPI1	75
SREBF1	46.666666666666664
SSRP1	-33.333333333333336
STAT1	66.66666666666667
STAT3	-12.5
TAF1	0
TBX21	100
TFDP1	-100
TP53	71.42857142857143
TP63	100
